champion_id,champion_name,skin_id,skin_name,skin_release_date,win_rate_1m_before,win_rate_2w_after,popularity_1m_before,popularity_2w_after,buff_entries_6w_before,buff_patches_6w_before,nerf_entries_6w_after,nerf_patches_6w_after,win_rate_change,popularity_change,any_buff_6w_before,any_nerf_6w_after,popularity_quartile
888,Renata Glasc,31,Masque of the Black Rose,2025-01-09,49.3108110502629,49.0158433062188,1.7673268154647,1.6082063970624,0,0,1,1,-0.294967744044143,-0.159120418402295,FALSE,TRUE,Q1: least popular
360,Samira,33,Masque of the Black Rose,2025-01-09,48.9141473368393,48.6933269509306,4.98552614673925,5.44802875712746,0,0,0,0,-0.220820385908681,0.462502610388211,FALSE,FALSE,Q2
875,Sett,66,Radiant Serpent,2025-01-09,50.9469399699973,51.2003318971403,7.04012431382153,8.43008826028356,0,0,0,0,0.253391927142964,1.38996394646203,FALSE,FALSE,Q3
8,Vladimir,48,Masque of the Black Rose,2025-01-09,49.9804515678937,50.0602856231957,3.96045217846863,5.93116422605918,1,1,0,0,0.0798340553019159,1.97071204759055,TRUE,FALSE,Q2
69,Cassiopeia,38,Prestige Mythmaker,2025-01-23,51.1329600281469,51.1771612749724,2.11843899955163,3.86214157516504,1,1,2,1,0.0442012468255442,1.7437025756134,TRUE,TRUE,Q1: least popular
59,Jarvan IV,44,Mythmaker,2025-01-23,50.5983946704196,50.9779576050024,4.40564083787499,4.77748248638785,0,0,0,0,0.379562934582793,0.371841648512866,FALSE,FALSE,Q2
202,Jhin,47,Mythmaker,2025-01-23,50.5004515661888,49.8369235150229,19.3130942332106,15.8584646140638,0,0,0,0,-0.663528051165933,-3.45462961914679,FALSE,FALSE,Q4: most popular
267,Nami,58,Mythmaker,2025-01-23,51.8668728845105,52.1857548049393,6.2827847845763,7.68724013681679,0,0,0,0,0.318881920428758,1.40445535224049,FALSE,FALSE,Q2
98,Shen,51,Three Honors,2025-01-23,50.5993813464685,50.1277714149756,4.18680607064073,4.81119701297571,0,0,0,0,-0.471609931492985,0.624390942334982,FALSE,FALSE,Q2
32,Amumu,53,Dumpling Darlings,2025-02-05,52.3031198877251,52.3993123948286,7.10928864302681,8.06105267169343,0,0,0,0,0.0961925071035026,0.951764028666616,FALSE,FALSE,Q3
134,Syndra,65,Dumpling Darlings,2025-02-05,49.8523645441332,50.2005648719132,4.76756515547199,5.07794558956811,0,0,1,1,0.348200327779942,0.310380434096124,FALSE,TRUE,Q2
236,Lucian,62,Masked Justice,2025-02-20,48.6456773487449,48.4885809254469,5.69401872633181,5.69117905499223,0,0,0,0,-0.157096423298,-0.00283967133958818,FALSE,FALSE,Q2
235,Senna,63,Masked Justice,2025-02-20,50.0946727707114,49.5604099548709,5.33057252101359,5.04210527374282,0,0,0,0,-0.534262815840478,-0.288467247270769,FALSE,FALSE,Q2
777,Yone,65,Masked Justice,2025-02-20,48.3933180732216,48.2502207449305,13.4759324540924,13.8912074862775,0,0,1,1,-0.143097328291091,0.415275032185106,FALSE,TRUE,Q4: most popular
238,Zed,68,Quantum Galaxy Slayer,2025-02-20,47.2187467488839,47.9098738600397,6.99113417373574,9.5336940242776,0,0,0,0,0.691127111155872,2.54255985054186,FALSE,FALSE,Q3
122,Darius,65,Prestige Triumphant General,2025-03-05,49.8040696934941,50.8340638247515,10.616163831543,16.7651651176594,0,0,3,2,1.02999413125744,6.14900128611637,FALSE,TRUE,Q4: most popular
119,Draven,58,Grand Reckoning,2025-03-05,47.8084884074594,48.3036299436448,3.93859575280787,3.96303991806365,0,0,1,1,0.495141536185422,0.0244441652557779,FALSE,TRUE,Q2
526,Rell,30,Grand Reckoning,2025-03-05,51.0120932933261,50.6650022068721,5.27570727491821,3.91777424793183,0,0,0,0,-0.347091086453993,-1.35793302698638,FALSE,FALSE,Q2
147,Seraphine,50,Dumpling Darlings,2025-03-05,49.2589534915872,49.6109074859112,5.97474486104591,6.08287273244439,1,1,0,0,0.351953994323985,0.10812787139848,TRUE,FALSE,Q2
14,Sion,49,Grand Reckoning,2025-03-05,50.2048837980932,50.9813678494831,4.28392114134282,5.14781667728603,2,1,0,0,0.776484051389929,0.86389553594321,TRUE,FALSE,Q2
91,Talon,59,Grand Reckoning,2025-03-05,49.4277911960184,48.4722885766269,3.80197698332849,4.08096727785565,0,0,0,0,-0.955502619391496,0.278990294527162,FALSE,FALSE,Q2
141,Kayn,26,Battle Academia,2025-03-19,50.3889454704882,50.5047406941599,10.7300042036631,9.70940258246537,1,1,0,0,0.115795223671697,-1.02060162119776,TRUE,FALSE,Q4: most popular
246,Qiyana,50,Prestige Battle Academia,2025-03-19,47.9964322401332,47.2744722396901,1.82720769980338,2.05823530040864,0,0,0,0,-0.721960000443104,0.231027600605261,FALSE,FALSE,Q1: least popular
497,Rakan,47,Battle Academia,2025-03-19,48.9631283075888,49.6884258676998,3.29217535152111,3.613596900629,1,1,0,0,0.725297560111073,0.321421549107892,TRUE,FALSE,Q1: least popular
498,Xayah,57,Battle Academia,2025-03-19,49.7675044101183,50.0897315455302,3.69929485690702,4.72736956702582,0,0,0,0,0.322227135411843,1.0280747101188,FALSE,FALSE,Q1: least popular
201,Braum,42,Grill Master,2025-04-02,51.3421830874748,51.481305581518,4.6372178109664,5.16055056717396,0,0,0,0,0.139122494043228,0.523332756207562,FALSE,FALSE,Q2
86,Garen,43,Pengu,2025-04-02,51.0627587277207,49.8407039189382,12.0361599831439,9.91707123290325,0,0,0,0,-1.22205480878254,-2.11908875024061,FALSE,FALSE,Q4: most popular
54,Malphite,48,Pool Party,2025-04-02,50.5663793638604,50.2793983374202,8.40903407762961,8.58077712213584,0,0,0,0,-0.286981026440166,0.171743044506227,FALSE,FALSE,Q3
950,Naafiri,20,Glizzy,2025-04-02,51.2366089991787,51.8493983374202,2.490735572405,10.0501179646759,26,2,4,2,0.612789338241441,7.55938239227085,TRUE,TRUE,Q1: least popular
35,Shaco,64,Cat-in-the-Box,2025-04-02,49.1021264546201,48.6372984561759,7.16805591927726,9.81415249954187,2,1,0,0,-0.464827998444235,2.64609658026462,TRUE,FALSE,Q3
6,Urgot,32,Urgot the Clogfather,2025-04-02,52.0074142747431,52.0243020188469,3.83593670011606,3.80814720887067,0,0,0,0,0.0168877441038475,-0.0277894912453949,FALSE,FALSE,Q2
